product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
3ec0746274840a4695e81efe738119b0,stationery,27,1689,5,453.0,14,9,8
7a1791fd686ceb73f65b95c0873c07e5,books_general_interest,57,368,5,185.0,25,42,54
390e4b89080c13eadc3ad53eae73dc5c,luggage_accessories,46,1679,1,614.0,89,7,13
420a5ae0429146d9d0879e7badd2d3c6,stationery,34,386,3,1939.0,41,2,79
d7d50fd70e770d6f92f482bbbe7be322,computers_accessories,53,986,4,1359.0,81,46,15
8ba7f4d9bac3b55f34ab559d61735040,computers_accessories,34,1883,1,2067.0,91,19,26
ba44186c4af0429962569eea8cd38d33,food_drink,21,1415,3,3309.0,86,8,67
397e64b47009f76a9caffd806da5f301,telephony,29,237,3,2693.0,92,32,60
0e4dbbfcbf52bed26ea19ed04afc44cd,pet_shop,45,1666,2,1731.0,67,44,36
505cc958eba1bff7d64492dd09be56a1,auto,24,927,4,4169.0,48,14,21
4c6035cb3a10aa19c862b355adab2793,housewares,26,1274,2,1600.0,96,40,59
6a28c89910859cd30fec0e2f3b7735ce,perfumery,49,570,5,1173.0,68,27,11
1844c2f3f70c5a7429d76779cecec2a6,watches_gifts,55,1744,4,3531.0,37,16,78
eb25ba9f35c7715c620fc1a9998a2cd7,food_drink,35,1876,1,918.0,18,27,29
fbdfb4cb978197b7cbd40c84b569569b,luggage_accessories,56,1171,2,1385.0,88,39,62
95fa7c8c90d9d0f4455f3d07d04024df,stationery,41,770,1,888.0,24,26,64
644481e54d97fba52451e81360980cfe,food_drink,35,1637,6,676.0,63,48,17
9eb74a41477fc7488c14a399dbc2ce51,watches_gifts,58,1620,3,2865.0,11,40,38
65cea46da6840370e170880009fb1695,housewares,21,1690,3,1841.0,50,25,68
3f5a33100eaf92bd42a57fddd9591953,luggage_accessories,27,572,6,1372.0,86,8,49
2d353d2bb3c30a7cca1c8cf310b63b1b,toys,52,1733,3,1406.0,71,46,42
59b6ea07e79e61bd5781426f0a210f76,books_general_interest,59,791,6,568.0,15,4,73
da3f879c8dad6c433a96bf692ec37ea5,pet_shop,52,460,3,1680.0,54,34,25
f86964b348b8458df33c7fe4258623d9,watches_gifts,28,608,2,484.0,92,35,40
1d7fdfeb194d9e768f546f98c4f4e451,watches_gifts,58,1059,6,2207.0,39,12,34
b146ac7cc88f9d1ee72914c7befbd4a8,stationery,58,1514,4,1056.0,75,40,69
ed2e9d9dc3b13b519f425b20118778ca,food_drink,24,1017,5,208.0,11,16,31
aa9df63fddfa8cdd20f7acc5de20badf,health_beauty,56,1228,2,351.0,53,36,44
3cd17e7292df2236a4f43b609db07d31,computers_accessories,46,1620,2,3015.0,39,20,49
db7c74d419e6be0774200fba7ae6da00,pet_shop,56,658,6,2744.0,17,35,59
17a6265c79196dbae3ff06e6c86bb29d,luggage_accessories,27,834,5,803.0,43,5,76
34b8e3d4444a10a0a6633fb895111f7a,pet_shop,34,943,5,846.0,94,16,19
eb6b3b3a588eea87a1e78104e37e4a03,watches_gifts,49,1631,5,770.0,18,30,19
c148c0ae95795de8b21691f14e33f27f,furniture_decor,21,844,3,949.0,95,48,70
5704f6ff9422e3ccdb94099af66f03ed,computers_accessories,41,1126,4,162.0,65,29,32
35cdf2997f85716e2197e922067b8209,food_drink,25,315,5,2108.0,99,20,31
3371c5c9e335ebd4b701593c5a935d91,telephony,25,1747,2,1262.0,52,12,10
1edff3d0a29c772d534bd85832d232c9,toys,39,624,6,143.0,69,26,57
38b7b5cef22e298e758b67c90ee9cfff,furniture_decor,25,1640,3,253.0,22,42,47
8a9f8fbb4deb44e6ab8dd157afddf033,books_general_interest,54,1297,1,3664.0,78,31,19
7eb5ad1b70dfc3689ec0851900a245ab,bed_bath_table,34,307,3,2812.0,72,17,8
ddbfef03683fb36697d0960c85b0ef4f,health_beauty,23,166,5,4531.0,49,38,19
2354fbed441e1dcc76f81badd6a8f50f,auto,24,902,2,2046.0,10,44,40
2d1ba3a841806463189f846fd9c9b2c5,fashion_bags_accessories,26,680,1,908.0,94,36,63
1e6bc0dc5d1f8a49c026caab0e1b882a,perfumery,45,1844,5,600.0,77,35,71
